file,paragraph_id,section,governing_question,one_sentence_answer,evidence_or_mechanism,scope_condition,transition_to_next_paragraph,recommended_action
main.tex,main.tex:P0023,Mean-Preserving Interval Loss and Population Target,How is the MPI target identified or scoped?,"Fix a desired interval content (c (0,1) ) and ordered endpoints (a<b ).",interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: not, regular, when.","Next paragraph begins: The familiar check-loss notation gives an equivalent compact representation. For a scalar argument (r ), let [ _c(r)=r c- (r<0) = (1-c)|r|, & r<0, cr, & r 0. ] ",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0024,Mean-Preserving Interval Loss and Population Target,What role does this paragraph play in Mean-Preserving Interval Loss and Population Target?,The familiar check-loss notation gives an equivalent compact representation.,definition or mathematical construction,"Scope is conditional; paragraph includes cues: not, only, when.","Next paragraph begins: The midpoint--half-width parameterization makes the interval geometry explicit. Write (a=m-h ) and (b=m+h ), where (h>0 ). Then [ e(a,b;Y)=(Y-m)^2-h^2, ] so (e<",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0025,Mean-Preserving Interval Loss and Population Target,What role does this paragraph play in Mean-Preserving Interval Loss and Population Target?,The midpoint--half-width parameterization makes the interval geometry explicit.,definition or mathematical construction,Scope is conditional; paragraph includes cues: only.,"Next paragraph begins: The first result gives the score-level interpretation of the loss. At a regular interior point, the two endpoint scores enforce both content and retained-mean b",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0026,Mean-Preserving Interval Loss and Population Target,What role does this paragraph play in Mean-Preserving Interval Loss and Population Target?,The first result gives the score-level interpretation of the loss.,interpretive transition or scope statement,Scope is conditional; paragraph includes cues: regular.,"Next paragraph begins: [Mean-preserving population target] Fix (x ) and let (a<b ). Suppose ( (Y^2 X=x)< ), the conditional distribution has no mass at (a ) or (b ), differentiation m",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0027,Mean-Preserving Interval Loss and Population Target,How is the MPI target identified or scoped?,The population content implication is due to .,interpretive transition or scope statement,Scope is conditional; paragraph includes cues: not.,Next paragraph begins: The next theorem converts the score identities into a quantile-window functional. This is the object that the unrestricted population loss estimates.,retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0028,Mean-Preserving Interval Loss and Population Target,What formal result or assumption is being established?,The next theorem converts the score identities into a quantile-window functional.,formal statement or proof,No special scope condition beyond surrounding section.,"Next paragraph begins: [Quantile-window identification] In addition to the conditions of Proposition~ , suppose that (F_x ) is continuous and strictly increasing on its support, and l",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0029,Mean-Preserving Interval Loss and Population Target,How does the dynamic root-state construction preserve the target?,This theorem identifies the unique regular stationary window.,formal statement or proof,"Scope is conditional; paragraph includes cues: fixed, if, not, open, regular, requires.",Next paragraph begins: MPI therefore targets an interval directly and can accommodate asymmetric conditional distributions without assigning endpoint quantile levels in advance. The c,retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0030,Mean-Preserving Interval Loss and Population Target,How does the dynamic root-state construction preserve the target?,MPI therefore targets an interval directly and can accommodate asymmetric conditional distributions without assigning endpoint quantile levels in advance.,interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: fixed, not, only, under, when.",Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0031,Mean-Tilted Interval Family,What role does this paragraph play in Mean-Tilted Interval Family?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: The MPI target is one member of the fixed-content class. To move through the content- (c ) family without changing the coverage score, consider a fixed retained",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0032,Mean-Tilted Interval Family,How is the MPI target identified or scoped?,The MPI target is one member of the fixed-content class.,definition or mathematical construction,Scope is conditional; paragraph includes cues: fixed.,Next paragraph begins: The fixed tilt changes placement but not content. The proposition records this separation explicitly.,retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0033,Mean-Tilted Interval Family,How does the MTI tilt define placement or computation?,The fixed tilt changes placement but not content.,formal statement or proof,"Scope is conditional; paragraph includes cues: fixed, not.","Next paragraph begins: [Fixed-content mean tilt] Under the regularity conditions of Proposition~ , a nondegenerate interior stationary point of the mean-tilted population risk satisfi",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0034,Mean-Tilted Interval Family,What formal result or assumption is being established?,The score equations identify stationary points.,formal statement or proof,"Scope is conditional; paragraph includes cues: regular, under.","Next paragraph begins: [Profiled identification of the interior target] Suppose that the support closure is an interval (possibly with infinite endpoints), (F ) is absolutely continuo",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0035,Mean-Tilted Interval Family,What posterior object or computation is being defined?,"The supplement proves existence and uniqueness of the radius, the envelope derivative, and the one-sided behavior when a root crosses a finite support endpoint.",interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: not, when.","Next paragraph begins: The recovery tilts translate familiar placement rules into the MTI coordinate. They are population quantities, not automatic sample estimators.",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0036,Mean-Tilted Interval Family,How does the MTI tilt define placement or computation?,The recovery tilts translate familiar placement rules into the MTI coordinate.,interpretive transition or scope statement,Scope is conditional; paragraph includes cues: not.,"Next paragraph begins: [Recovery tilts for familiar interval functionals] MPI is recovered by ( _ =0 ). Define [ U_ = _ 0 u 1-c W_c(u), _ = M_c(u)- :u U_ . ] The population recovery t",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0037,Mean-Tilted Interval Family,What evidence or reproducibility role does this paragraph serve?,"At regular interior points where the endpoint quantiles are differentiable and have positive densities, [ d = W_c(u_ ) , d = W_c(u_ ) .","generated artifact, validation fixture, or diagnostic summary",Scope is conditional; paragraph includes cues: regular.,Next paragraph begins: [!htbp] Every interval has content (c=0.80 ). Targets are computed on each raw population law and then displayed after mean/standard-deviation standardization. ,retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0038,Mean-Tilted Interval Family,What evidence or reproducibility role does this paragraph serve?,"For initialization and external tilt screening, the same identities suggest a simple first-order approximation.","generated artifact, validation fixture, or diagnostic summary",Scope is conditional; paragraph includes cues: not.,"Next paragraph begins: [H] For content (c=0.80 ), the solid curves are the population window-to-tilt map and width profile from the left-skewed illustration. Filled markers are the ex",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0039,Mean-Tilted Interval Family,What role does this paragraph play in Mean-Tilted Interval Family?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,Next paragraph begins: Table~ shows why the approximation should remain an anchor rather than a target definition. It is exact at symmetry and close for the near-Normal Gamma laws. It,retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0040,Mean-Tilted Interval Family,What evidence or reproducibility role does this paragraph serve?,Table~ shows why the approximation should remain an anchor rather than a target definition.,"generated artifact, validation fixture, or diagnostic summary",Scope is conditional; paragraph includes cues: not.,"Next paragraph begins: The recovery tilts above are population quantities. A universal tilt does not recover the same interval functional across distributions, and conditional recover",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0041,Mean-Tilted Interval Family,What evidence or reproducibility role does this paragraph serve?,The recovery tilts above are population quantities.,"generated artifact, validation fixture, or diagnostic summary","Scope is conditional; paragraph includes cues: fixed, not, requires, under, when.",Next paragraph begins: The population score equations do not by themselves establish propriety of a finite-sample generalized posterior under an arbitrary root prior. With a fixed lea,retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0042,Mean-Tilted Interval Family,What posterior object or computation is being defined?,The population score equations do not by themselves establish propriety of a finite-sample generalized posterior under an arbitrary root prior.,interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: fixed, not, under.",Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0043,Finite-Sample Balance and Static Uncertainty Scope,What role does this paragraph play in Finite-Sample Balance and Static Uncertainty Scope?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: The population identities do not imply smooth finite-sample score equations: fitted endpoints depend on the observations, and the empirical MPI loss is nonsmoot",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0044,Finite-Sample Balance and Static Uncertainty Scope,How does the dynamic root-state construction preserve the target?,The population identities do not imply smooth finite-sample score equations:,definition or mathematical construction,"Scope is conditional; paragraph includes cues: fixed, if, iid, not, only, when.","Next paragraph begins: A separate static large-sample theory concerns iid random-design observations (Z_i=(X_i,Y_i) ), fixed coefficient dimension, fixed (c ), fixed ( (X) ), and fixe",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0045,Finite-Sample Balance and Static Uncertainty Scope,How does the MTI tilt define placement or computation?,"A separate static large-sample theory concerns iid random-design observations (Z_i=(X_i,Y_i) ), fixed coefficient dimension, fixed (c ), fixed ( (X) ), and fixed ( _ R ).",formal statement or proof,"Scope is conditional; paragraph includes cues: fixed, iid, not.","Next paragraph begins: Under these static regularity conditions, write ( _0=( _ L0 ^ , _ U0 ^ )^ ). Let (H ) be the expected-risk Hessian and (J= _0(Z) ) the variance of the endpoint ",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0046,Finite-Sample Balance and Static Uncertainty Scope,What posterior object or computation is being defined?,"Under these static regularity conditions, write ( _0=( _ L0 ^ , _ U0 ^ )^ ).",formal statement or proof,"Scope is conditional; paragraph includes cues: fixed, not, only, open, regular, under.",Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0047,Static Interval-Root Regression and Generalized Posteriors,What role does this paragraph play in Static Interval-Root Regression and Generalized Posteriors?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: Let ( O ) index the observed rows of ( X ^ n p ), with (n_ =| O| ), and define two raw-root readouts [ _k= X _k, k=1,2. ] Pointwise reporting uses [ L_i= ( _ 1i",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0048,Static generalized-posterior target and model-family scope,How does the dynamic root-state construction preserve the target?,"Let ( O ) index the observed rows of ( X ^ n p ), with (n_ =| O| ), and define two raw-root readouts [ _k= X _k, k=1,2.",definition or mathematical construction,"Scope is conditional; paragraph includes cues: if, not, only, when.","Next paragraph begins: For each observed row, define [ e_i=(y_i- _ 1i )(y_i- _ 2i ), _ c, _i ( _ 1i , _ 2i ;y_i) = _c(e_i)-c _i( _ 1i + _ 2i -2y_i). ] For priors ( _1, _2 ), a fixed e",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0049,Static generalized-posterior target and model-family scope,What posterior object or computation is being defined?,"For each observed row, define [ e_i=(y_i- _ 1i )(y_i- _ 2i ), _ c, _i ( _ 1i , _ 2i ;y_i) = _c(e_i)-c _i( _ 1i + _ 2i -2y_i).",definition or mathematical construction,"Scope is conditional; paragraph includes cues: fixed, not.",Next paragraph begins: [!htbp] Panel A separates predictor restrictions from the interval loss; Panel B records the available posterior computation. FD denotes fixed design. ``Exact'',retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0050,Static generalized-posterior target and model-family scope,What posterior object or computation is being defined?,"rior & Proper Gaussian/ridge and MPI RHS-NS modes MTI-FD & Fixed only & Exact Gibbs conditionals and deterministic ECM root solves for proper Gaussian roots, including ridge & Fixed nonzero tilt with Gaussian/ridge roots;",algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, not, only.",Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0051,Pseudo-AL augmentation and Gaussian full conditionals,What role does this paragraph play in Pseudo-AL augmentation and Gaussian full conditionals?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: Let [ r_i=y_i^2, m_i^ R =y_i( _ 1i + _ 2i )- _ 1i _ 2i . ] Then (r_i-m_i^ R =e_i ). With [ _ R = _ R ^ -1 , _c= c(1-c) , _c= c(1-c) , ] the single-observation f",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0052,Pseudo-AL augmentation and Gaussian full conditionals,What posterior object or computation is being defined?,"Let [ r_i=y_i^2, m_i^ R =y_i( _ 1i + _ 2i )- _ 1i _ 2i .",algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: not, under.","Next paragraph begins: Conditional on ( _2 ), the pseudo-observation equation is linear in ( _1 ): [ A_1= ( y_ O - _ 2, O ) X_ O , z_1= y_ O ( y_ O - _ 2, O ) - _c v_ O . ] With ( W_v",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0053,Pseudo-AL augmentation and Gaussian full conditionals,What posterior object or computation is being defined?,"Conditional on ( _2 ), the pseudo-observation equation is linear in ( _1 ):",algorithmic derivation or computational identity,Scope is conditional; paragraph includes cues: only.,"Next paragraph begins: For a deterministic fixed-target mode, the same augmentation gives an ECM algorithm. At the current roots, for nonzero residual product (e_i ), [ _i=E(v_i^ -1 )",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0054,Pseudo-AL augmentation and Gaussian full conditionals,How is the tolerance or scan action distinguished from target uncertainty?,"For a deterministic fixed-target mode, the same augmentation gives an ECM algorithm.",algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, not.","Next paragraph begins: The fixed-design calculation also supports regularized MPI. Let ( _k ) denote a root-specific prior state and suppose that, conditional on this state, root (k )",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0055,Regularized coefficient blocks and the static Gibbs sweep,How does the dynamic root-state construction preserve the target?,The fixed-design calculation also supports regularized MPI.,definition or mathematical construction,"Scope is conditional; paragraph includes cues: fixed, regular.","Next paragraph begins: This conditionally Gaussian adapter reuses the external RHS-NS hierarchy rather than rederiving its marginal prior. The legacy interface names this option ( ), ",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0056,Regularized coefficient blocks and the static Gibbs sweep,How is the MPI target identified or scoped?,This conditionally Gaussian adapter reuses the external RHS-NS hierarchy rather than rederiving its marginal prior.,interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: fixed, not, only.","Next paragraph begins: Static fixed-rate MPI/MTI root-blocked Gibbs sampler Fix ( y, X, O,c, _ R ), the target tilt ( _ O ), proper root priors, and the label-swap rule. Missing rows ",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0057,Regularized coefficient blocks and the static Gibbs sweep,What posterior object or computation is being defined?,"At ( = 0 ), Algorithm~ is the fixed-rate MPI Gibbs sampler.",algorithmic derivation or computational identity,Scope is conditional; paragraph includes cues: fixed.,Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0058,Frozen-feature DESN readout,What role does this paragraph play in Frozen-feature DESN readout?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: Let ( X_ ) be the complete deterministic feature design produced by a deep echo-state network, including any declared intercept column, with fixed and recorded ",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0059,Frozen-feature DESN readout,What posterior object or computation is being defined?,"deterministic feature design produced by a deep echo-state network, including any declared intercept column, with fixed and recorded reservoir weights, scaling, washout, preprocessing, tuning decisions, and random seeds .",algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, only.","Next paragraph begins: Future root functionals use a frozen future design ( X_ ) constructed under the same recorded reservoir contract, without using held-out responses to refit its ",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0060,Frozen-feature DESN readout,What role does this paragraph play in Frozen-feature DESN readout?,"Future root functionals use a frozen future design ( X_ ) constructed under the same recorded reservoir contract, without using held-out responses to refit its features.",interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: fixed, iid, under.","Next paragraph begins: A separate MPI-only convention uses a positive reference loss scale (s_L ), sets ( _ R =s_L/ ), writes ( L_ n,c ( )= _ i O _c(e_i) ), and declares [ _ R (d ,d y",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0061,MPI-only learned inverse-loss scale,What posterior object or computation is being defined?,"A separate MPI-only convention uses a positive reference loss scale (s_L ), sets ( _ R =s_L/ ), writes ( L_ n,c ( )= _ i O _c(e_i) ), and declares [ _ R (d ,d y) (d ) ^ n_ _ (d ) - L_ n,c ( )/s_L , ] the .",algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: if, not, only, when.",Next paragraph begins: The learned ( ) is part of this hierarchical generalized posterior. Coherence for a fixed loss scale does not establish that ( ) is an ordinary jointly learnabl,retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0062,MPI-only learned inverse-loss scale,What posterior object or computation is being defined?,The learned ( ) is part of this hierarchical generalized posterior.,interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: fixed, not, when.",Next paragraph begins: This hierarchical generalized posterior can be paired only with an otherwise valid MPI fixed-design or fixed-joint root model. Its partially collapsed Gibbs sam,retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0063,MPI-only learned inverse-loss scale,What posterior object or computation is being defined?,This hierarchical generalized posterior can be paired only with an otherwise valid MPI fixed-design or fixed-joint root model.,algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, not, only.",Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0064,Dynamic Linear Root-State Computation,What role does this paragraph play in Dynamic Linear Root-State Computation?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: The MTI-DLM represents each raw root by a linear Gaussian state trajectory, [ _ kt = f_t^ _ kt , _ k0 ( m_0, C_0), _ kt = G_t _ k,t-1 + _ kt , _ kt ( 0, W_t), k",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0065,Dynamic Linear Root-State Computation,What posterior object or computation is being defined?,"The MTI-DLM represents each raw root by a linear Gaussian state trajectory, [ _ kt = f_t^ _ kt , _ k0 ( m_0, C_0), _ kt = G_t _ k,t-1 + _ kt , _ kt ( 0, W_t), k=1,2.",algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, not.","Next paragraph begins: For (t O ), conditional on the second root path and the MTI latent scales, the first path has the pseudo-observation system [ z_ 1t =y_t(y_t- _ 2t )- _c v_t, H_",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0066,Dynamic Linear Root-State Computation,What posterior object or computation is being defined?,"For (t O ), conditional on the second root path and the MTI latent scales, the first path has the pseudo-observation system [ z_ 1t =y_t(y_t- _ 2t )- _c v_t, H_ 1t =(y_t- _ 2t ) f_t^ , V_t= _c _ R v_t.",definition or mathematical construction,"Scope is conditional; paragraph includes cues: fixed, if, under, when.",Next paragraph begins: The evolution specification is part of the generalized posterior. Fixed ( W_t ) gives a Gaussian state prior. A frozen discount template first maps declared com,retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0067,Dynamic Linear Root-State Computation,What posterior object or computation is being defined?,The evolution specification is part of the generalized posterior.,algorithmic derivation or computational identity,Scope is conditional; paragraph includes cues: fixed.,"Next paragraph begins: Fixed-rate MTI-DLM root-blocked Gibbs sampler Fix (( y, O) ), (c, _ R ), ( _ 1:T ), ( f_ 1:T ), ( G_ 1:T ), proper Gaussian initial laws, and either fixed ( W_ ",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0068,Dynamic Linear Root-State Computation,What posterior object or computation is being defined?,"At ( _ 1:T =0 ), Algorithm~ reduces exactly to the fixed-rate MPI-DLM sampler for fixed ( W_t ) or a frozen template.",algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, not.","Next paragraph begins: For MPI, an exact component-specific alternative partitions the state into blocks and sets [ W_t( q)= q_1 Q_ 1t , ,q_J Q_ Jt , q_j (a_j,b_j), ] where the ( Q_ j",retain after 2026-08-13 architecture/prose pass
