"Claim ID","Current manuscript claim","Claim type","Required evidence","Available evidence","Failure criterion","Correct verb strength","Main location","Supplement location","Revision action"
"C11","Dynamic root states admit exact alternating FFBS conditionals for fixed joint Gaussian evolution settings.","exact algorithmic result","Conditional linear-Gaussian derivation and root-blocked target identity.","Main dynamic section; supplement dynamic computation.","Adaptive or recomputed discount variants are described as exact joint samplers.","admits exact blocked conditionals under stated fixed settings","main.tex:Dynamic Linear Root-State Computation","rqr-gibbs-supplement.tex:Dynamic Linear Root-State Computation","Retain and distinguish experimental variants."
"C12","Component-scale DLM variants are exact only for MPI shared component scales in the current implementation.","exact algorithmic result plus limitation","Invariant transition proof and nonzero-tilt incompatibility expression.","Main MPI-only evolution variants; supplement component-specific discount factors.","Nonzero-tilt component-scale interweaving is promoted without propriety/invariance proof.","is implemented for / would require","main.tex:MPI-only evolution variants","rqr-gibbs-supplement.tex:Exact MPI shared component scales","Retain as limitation."
"C13","The scan-calibrated empirical order-statistic window is the formal tolerance action, not a posterior summary.","definition plus proposed finite-sample action","Closed-window action definition and external scan calibration criterion.","Main scan-calibrated tolerance section; TCSP ledger says action proof is not fully audited.","Posterior endpoint summaries are substituted for the tolerance action.","defines / proposes with open proof tasks","main.tex:Scan-Calibrated Tolerance Actions","rqr-gibbs-supplement.tex:Support map and status ledger","Move downstream and retain caveat."
"C14","Monte Carlo scan calibration with Massart-DKW lower bands is conservative numerical calibration, not exact scan recursion.","bounded validation fixture plus planned extension","Uniform scan simulation procedure, DKW bound, exact recursion proof if claimed.","Main scan-calibration section; implementation notes and theory ledger.","The text claims exact finite-sample critical counts from Monte Carlo alone.","uses conservative numerical calibration","main.tex:Scan-Calibrated Tolerance Actions","rqr-gibbs-supplement.tex:Support map and status ledger","Retain as numerical procedure; mark exact recursion open."
"C15","Sample-split fixed spacing has exact conditional Beta content law under iid univariate continuity.","finite-sample theorem","Order-statistic spacing law and independent pilot/main split.","Main split exact-spacing paragraph; supplement status ledger.","Claim is extended to regression-family tolerance calibration.","gives exact conditional distribution under stated split","main.tex:Scan-Calibrated Tolerance Actions","rqr-gibbs-supplement.tex:Support map and status ledger","Retain; narrow to iid univariate."
"C16","Direct DP gives exact fixed-interval posterior Beta law for F(I).","finite-dimensional Bayesian identity","Dirichlet-process conjugacy proof.","Main full-distribution paragraph; supplement Proposition Direct-DP fixed-interval content law.","The DP posterior is used to interpret MTI root draws as response draws.","gives exact posterior law under DP model","main.tex:Scan-Calibrated Tolerance Actions","rqr-gibbs-supplement.tex:Full-Distribution Bayesian Shortest-Interval Uncertainty","Retain as separate response-distribution model."
"C17","Gaussian DPM provides smooth posterior content summaries by Monte Carlo, not exact fixed-interval conjugacy.","experimental algorithmic behavior","DPM sampler/functional summaries and generated evidence if used.","Main scan section; supplement DPM paragraph.","DPM Monte Carlo summaries are described as exact or tolerance-valid.","provides Monte Carlo posterior summaries","main.tex:Scan-Calibrated Tolerance Actions","rqr-gibbs-supplement.tex:Full-Distribution Bayesian Shortest-Interval Uncertainty","Retain with contrast to direct DP."
"C18","Oracle-tilt fixed-design and DLM illustrations are single-data computational diagnostics, not simulation studies.","single-data illustration","Frozen data provenance, chain diagnostics, figure/table manifests.","Main evaluation section; supplement oracle-tilt diagnostics and generated manifests.","The examples are presented as repeated-sample calibration or broad performance evidence.","illustrates / is consistent with","main.tex:Computational Validation and Evaluation Scope","rqr-gibbs-supplement.tex:Single-Data Oracle-Tilt Diagnostics","Retain; label evidence tier explicitly."
"C19","Confirmatory tolerance validation is planned/prespecified unless completed artifacts exist.","proposed extension","Validation protocol, configs, future completed outputs.","Main evaluation section; validation planning docs.","Manuscript reports planned runs as completed comparative evidence.","is designed / requires","main.tex:Computational Validation and Evaluation Scope","rqr-gibbs-supplement.tex:Reproducibility and Evidence Scope","Retain as future gate."
"C20","The strongest supported conclusion is target identification plus exact fixed-target computation under bounded configurations.","scope claim","Theorem support, algorithm derivations, validation fixtures, and open-proof ledger.","Main discussion; supplement status ledger; docs theory ledgers.","The manuscript claims full tolerance validity, posterior predictive calibration, or general nonlinear time-series superiority.","supports / leaves open","main.tex:Discussion and Next Steps","rqr-gibbs-supplement.tex:Reproducibility and Evidence Scope","Retain and make discussion conclusion explicit."
