"finding_id","source_deliverable","source_location","severity","pro_recommendation","codex_disposition","codex_reason","implementation_location","validation_check","results_or_software_dependency"
"M05","derivation_and_algorithm_design.md","Section 3.3","high","Use proper Gaussian/ridge roots as the defensible nonzero-tilt prior and defer RHS propriety.","accept","Finite exponential moments give a sufficient normalizer bound; the private RHS hierarchy and its marginal tail behavior are not established by this source.","main.tex; supplement propriety subsection; status table","Prior/status consistency audit","Depends on a future pinned-RHS source/propriety audit"
"M06","derivation_and_algorithm_design.md","Sections 6.2--6.4","critical","Add the DLM tilt as g_t=omega_R c delta_t f_t in canonical information form; never divide by the other-root residual.","accept","Conditioning on the other path leaves a Gaussian path conditional with unchanged precision and a linear canonical shift.","main.tex; rqr-gibbs-supplement.tex","Dense-form algebra audit; no residual-division search","PASS: independent audit reconciled"
"M07","derivation_and_algorithm_design.md","Section 6.3","critical","Exclude missing observations from loss, tilt, GIG refresh, and learned-scale powers.","accept","A missing response has no empirical-loss site; only the state transition remains.","main.tex Algorithm 2; supplement Algorithm S1 and Dynamic Root-State Computation/missingness contract","Observed-index and n_obs search","PASS: final source and rendered output verified"
"M08","derivation_and_algorithm_design.md","Section 6.5","high","Keep fixed W, frozen templates, shared scales, and adaptive discounts scientifically distinct.","accept_with_modification","Shared scales are exact for ordinary RQR, but nonzero tilt with their heavy-tailed mixture and noncentered update remains proposed and disabled.","main.tex; supplement dynamic and component-scale sections","Exact/working terminology audit","PASS: final source and rendered output verified"
"M09","derivation_and_algorithm_design.md","Section 6.5","critical","Add the tilt term to the noncentered component-scale log target under nonzero tilt.","accept_with_modification","The newer origin/main interweaving derivation must be preserved; a separate displayed extension will add the reconstructed-path tilt and explicitly remain unimplemented.","rqr-gibbs-supplement.tex component-scale subsection","Equation sign audit; current ordinary formula preserved","Nonzero-tilt software remains deferred"
"M10","independent_model_family_architecture_audit.md","Section 9.6","high","Allow a global root-label swap only under complete exchangeability.","accept","The move is an acceptance-one symmetry only if priors, evolutions, hyperpriors, tilt sites, and all root-specific states are exchanged.","Both algorithms and supplement label contract","Search optional-swap qualifications","PASS: final source and rendered output verified"
"M11","independent_model_family_architecture_audit.md","Section 9.7","high","Add fixed-tilt restricted score equations and identify restricted fits as projections.","accept","Pointwise population content and retained-mean identities do not follow automatically in a restricted class.","rqr-gibbs-supplement.tex mean-tilt section; concise main warning","Equation derivation and prose audit","PASS: final source and rendered output verified"
"M12","independent_model_family_architecture_audit.md","Section 9.1","high","Correct the claim that interior tilts index the complete closed interval family.","accept","Interior tilts index finite-root interior windows; boundary members require qualified one-sided limits.","Abstract; mean-tilt theorem discussion; captions","Search for complete-family overclaim","PASS: final source and rendered output verified"
"M13","derivation_and_algorithm_design.md","Section 6.3","medium","Present a local tilted Kalman update m_t=m_t^(0)+C_t g_t and unchanged backward recursion.","accept_with_modification","This is correct when g_t is applied at the local filtering site; the supplement will also state the equivalent full-path Qd=g formulation to prevent a mistaken post-hoc shift.","rqr-gibbs-supplement.tex dynamic section","Canonical completion-of-square audit","PASS: independent audit reconciled"
"M14","derivation_and_algorithm_design.md","Section 9","medium","Add numerical implementation safeguards for future nonzero-tilt code.","defer","The user requested manuscript completion while active simulation code is protected; only scientifically necessary algorithm qualifications will be documented now.","docs/audits disposition; future implementation plan","Confirm no application code changed","Future isolated software pass"
"F01","figure_redesign_and_al_benchmark_spec.md","Sections 1 and 6","high","Replace Gamma(2,1) by AL(mu=0,s=1,tau=.99) in Figures 1, 2, and S1.","accept_with_modification","The original .99 recommendation was implemented and then superseded by the user's AL_0.8(0,1) illustration; tau_AL and interval content c remain independent inputs despite their incidental common value 0.8.","Figure generator, oracle tests, captions, README, generated assets","AL distribution, tau/content-independence, and oracle regression tests","PASS: AL_0.8 revision independently recomputed, rendered, and visually verified"
"F02","figure_redesign_and_al_benchmark_spec.md","Sections 2--4","critical","Use the declared quantile-regression AL density, analytic moments, and analytic truncated first moment; solve on the raw scale before standardizing.","accept","The parameterization is unambiguous and raw-first computation preserves the stated population target.","figures/generate_rqr_theory_figures.R","Mass, inversion, moment, truncated-moment, affine tests","PASS: independent audit reconciled"
"F03","figure_redesign_and_al_benchmark_spec.md","Section 5","high","Use the supplied deterministic ET/RQR/SH AL oracle values.","accept_with_modification","The values will be regression references but independently recomputed by the generator and a numerical integration oracle rather than hard-coded as production output.","figures/test_rqr_theory_figure_oracles.R","Reference-value and independent-integration tests","PASS: final source and rendered output verified"
"F04","figure_redesign_and_al_benchmark_spec.md","Sections 1 and 8","high","Use solid interval segments for ET, RQR, and SH; distinguish them by glyph, direct label, vertical order, and redundant color.","accept","This follows the user's line-style requirement and remains interpretable without dash patterns.","Figure generator, tests, captions, README","Source assertion plus grayscale/CVD visual inspection","PASS: final source and rendered output verified"
"F05","figure_redesign_and_al_benchmark_spec.md","Section 7","high","Replace Gamma-era fixed limits with an adaptive quantile/target/label axis contract.","accept_with_modification","Panel bounds will be computed from quantiles, target endpoints, mean, and label anchors with explicit margins; the generator will fail on clipping.","Figure generator and tests","Endpoint/label bounds assertions and final-size inspection","PASS: final source and rendered output verified"
"F06","figure_redesign_and_al_benchmark_spec.md","Section 6","medium","Keep the supplementary blocked-state schematic only if it uniquely explains the quartic obstruction.","accept","It has a distinct mathematical role from removed Figure 3; final-size inspection will decide whether its labels remain legible.","rqr-gibbs-supplement.tex and existing schematic","Rendered supplement inspection","PASS: final source and rendered output verified"
"F07","figure_redesign_and_al_benchmark_spec.md","Sections 10--12","high","Add deterministic AL, rendering, provenance, no-Gamma, and accessibility gates.","accept_with_modification","Automatable analytic/source gates will be tests; final-size color and simulated-CVD inspection will be documented in the reconciliation audit.","Figure oracle tests; reconciliation report","Test suite plus rendered derivative images","PASS: final source and rendered output verified"
"L01","literature_and_claim_support_ledger.csv","L02--L06","high","Limit adjacent sources to their actual results and label RQR-specific theorems/blocks as article derivations.","accept","The cited papers motivate loss updating, AL mixtures, and DQLM computation but do not prove the article's retained-mean or two-root results.","main.tex; supplement; refs.bib","Citation-context audit","PASS: final source and rendered output verified"
"L02","literature_and_claim_support_ledger.csv","L07--L08","medium","Add primary DESN/reservoir citations at the frozen-feature adapter.","accept","Architecture claims should be tied to reservoir-computing sources without borrowing their response models.","main.tex DESN adapter; supplement DESN contract","Bib-key and citation build check","PASS: bibliography keys and citation build verified"
"L03","literature_and_claim_support_ledger.csv","L16--L20","high","Do not infer the private RHS hierarchy or nonzero-tilt propriety from generic shrinkage citations.","accept","The current wrappers establish only a conditional-Gaussian adapter contract.","main.tex; supplement","Claim/citation audit","Future pinned-source audit required"
"L04","literature_and_claim_support_ledger.csv","L35","low","Deduplicate overlapping area-level ESN preprint/published bibliography entries.","accept","The published 2025 record supersedes the duplicate 2026 arXiv placeholder with the same authors and title; no source cites the removed key.","refs.bib","Bibliography-key search and TeX build","Duplicate preprint entry removed; published record retained"
"L05","literature_and_claim_support_ledger.csv","L37","medium","Consider the 2026 calibrated tolerance-interval preprint as context only.","defer","Publication status and metadata require an external primary-source check, and it is not needed for the present architecture.","No source change","No unsupported citation added","Future literature pass"
"P01","recommended_article_structure.md","Section 6","medium","Adopt algorithm plus algpseudocode packages.","reject","The existing dependency-light custom algorithm environment is already Overleaf-compatible; consistent labeled blocks can be implemented without new packages.","main.tex custom algorithmblock; supplement matching environment","TeX build and visual inspection","PASS: final source and rendered output verified"
"P02","notation_and_naming_audit.csv","All rows","medium","Adopt MT-RQR consistently, use f_t for DLM design, and separate kappa, omega_R, lambda_W, gamma_j, and q_j.","accept_with_modification","High-risk collisions will be corrected now; a wholesale precision-matrix rename would add churn without scientific benefit.","main.tex; rqr-gibbs-supplement.tex","Notation search and cross-document audit","PASS: final source and rendered output verified"
"P03","main_supplement_allocation.csv","A09","medium","Remove the convex-order proposition from established material until proved.","reject","The current supplement contains a short complete secant proof under explicit expectation conditions; it need not be removed from the supplement and is not central in the main text.","No change beyond retaining supplement proof","Proof consistency audit","Already supported by current proof"
"P04","main_supplement_allocation.csv","A20","high","Document the exact RHS hierarchy in the supplement.","reject","The verified packet itself establishes that the authoritative source does not expose enough information; inventing the hierarchy would violate the evidence boundary.","Supplement states adapter-only contract","Claim search","External source dependency"
"S01","codex_implementation_handoff.md","Phases 3--6","critical","Implement nonzero-tilt production APIs after manuscript restructuring.","defer","The user explicitly requested the document first and protected active simulation work; no application code may change in this pass.","Disposition and reconciliation audits","Diff must contain no application path","Separate post-simulation implementation project"
