finding_id,area,verdict,severity,required_stage,launch_blocker,evidence,disposition
O15-011,seed collision discipline,REVISION_REQUIRED,high,before implementation acceptance,True,The current keyed seed takes only seven SHA hex digits and is not collision-free at the planned task count.,Enumerate canonical task keys and assign full L'Ecuyer-CMRG stream states; require exact unique state digests.
O15-012,integer input validation,REVISION_REQUIRED,medium,before implementation acceptance,True,Replication and horizon inputs are coerced with as.integer before whole-number validation.,Apply strict finite whole-number validation before conversion.
O15-013,dynamic quantile source pin,PASS,none,none,False,CRAN exdqlm 1.1.0 tarball SHA and isolated runtime are pinned; the protected checkout is not an execution source.,Retain exact archive/runtime attestation.
O15-014,dynamic quantile adapter contract,REVISION_REQUIRED,high,before implementation acceptance,True,The current adapter checks formals and a synthetic forecast object but not an actual fitted lower/upper pair.,Add a real tiny two-quantile fit/forecast test and freeze every argument/default digest.
O15-015,static quantile adapter,REVISION_REQUIRED,medium,before implementation acceptance,True,The orientation fixture is useful but not an end-to-end training/forecast comparison on generated data.,Add a tiny actual quantreg fit and target-aligned endpoint check from the pinned runtime.
O15-016,external comparator dependency lineage,REVISION_REQUIRED,high,before execution authorization,True,"Top-level tarballs are pinned, but complete installed dependency-library manifests are not yet frozen as a launch bundle.","Freeze package versions, source hashes, runtime-tree digests, and loaded namespace paths for the full isolated libraries."
O15-017,separate disposable pilot,NOT_REQUIRED,none,none,False,Bounded validation plus exact DGP/oracle/tiny stages cover mechanics; a small performance pilot would be imprecise and invite redesign.,"Use embedded, preselected sentinel replications inside the final run; they remain final-study observations."
O15-018,confirmatory tuning,REVISION_REQUIRED,high,before implementation acceptance,True,"Schema 0.2 retains candidate discount grids and training-validation searches, greatly inflating cost and leaving fairness choices.","Use zero data-driven candidate fits; freeze structural discounts, priors, empirical window, and learning-rate methods before seeds."
O15-019,scenario-method incidence,PASS_AS_RECOMMENDATION,none,before implementation acceptance,True,"The optimized matrix has exactly 208 rows, 89 included and 119 explicit omissions.",Implement exact set equality with the delivered design-matrix CSV.
O15-020,replication precision contract,PASS_AS_RECOMMENDATION,none,before implementation acceptance,True,Core 200+100 to 600 and sensitivity 100+50 to 300 support precision-only stopping with 20 future subreplications.,"Freeze scenario-level batch stopping and never use ranking, sign, TOST result, or significance to stop."
O15-021,coverage qualification,PASS,none,analysis,False,A 90% TOST interval wholly inside +/-0.02 is a coherent practical-equivalence classifier.,Do not use TOST for replication stopping or claim exact nominal coverage.
O15-022,target-aligned endpoint error,PASS,none,analysis,False,RQR and quantile methods have distinct endpoint truths under asymmetry.,"Report target-aligned errors separately; label distance from quantile endpoints to RQR roots as cross-target distance, not bias."
O15-023,MCMC schedule,PASS_AS_RECOMMENDATION,none,before implementation acceptance,True,Bounded evidence supports one-chain standard fits with fixed schedules and embedded four-chain sentinels.,Freeze schedules and within-chain/sentinel gates exactly as specified; no extension or reseeding.
O15-024,sentinel selection and stopping,PASS_AS_RECOMMENDATION,none,before execution authorization,True,Two preselected sentinel replications per replication batch yield 882/1710/2538 extra chains at initial/central/max designs.,Derive sentinel states before data generation; sentinel failure stops the scenario-coverage cell.
O15-025,computational feasibility,PASS_WITH_CONDITIONS,medium,before execution authorization,True,"Central design is approximately 2663 CPU hours, 96 wall hours at 32 one-thread workers, and 12 GiB ignored sentinel storage.","Run embedded sentinels first, require >=50 GiB free, cap at 32 workers initially, and adjust only downward on resource evidence."
O15-026,atomic output infrastructure,REVISION_REQUIRED,high,before execution authorization,True,Reference helpers use a simpler publication path than the hardened bounded runner.,"Reuse hardened fresh-directory, atomic-write, rollback, process-group, failure-ledger, and recursive-hash infrastructure."
O15-027,analysis multiplicity and hierarchy,PASS_AS_RECOMMENDATION,none,analysis,False,"The design avoids a global winner and separates home-target, operating, ablation, and sensitivity claims.",Use Holm-adjusted intervals only within predeclared directional contrast families; otherwise report MCSE and descriptive intervals.
O15-028,main-run implementation,GO_TO_IMPLEMENT_WITH_CORRECTIONS,none,implementation,False,"All blocking corrections have exact replacements in the audit, design matrix, budget, and gates.",Implement runner and references with both execution flags false; do not execute in the same pass.
O15-029,confirmatory execution,CONDITIONAL_GO,high,before execution authorization,True,Execution is scientifically feasible but not authorized until blocker gates and another source/config review pass.,Create a separate false-to-true authorization commit only after all blocking launch gates pass and user confirms.
O15-030,CAVI ELBO and RQR-DESN,DEFER,none,future,False,They do not answer the first RQR-DLM MCMC study and would broaden target and compute scope.,Keep both deferred until matched RQR-DLM evidence is complete.
