cell_id,DGP,coverage,method,role,replication_rule,chains_per_replication,tuning_rule,forecast_horizons,primary_estimands,paired_contrast_group,include_or_omit_reason
C04M09,S04,90,M09,O,0,0,-,h,-,-,o4
C04M10,S04,90,M10,O,0,0,-,h,-,-,o4
C04M11,S04,90,M11,O,0,0,-,h,-,-,o4
C04M12,S04,90,M12,O,0,0,-,h,-,-,o5
C04M13,S04,90,M13,O,0,0,-,h,-,-,o5
C05M01,S05,80,M01,C,C,1/4,a,h,r,p,i
C05M02,S05,80,M02,C,C,2/8,b,h,q,p,i
C05M03,S05,80,M03,A,C,1/4,c,h,r,s,i
C05M04,S05,80,M04,A,C,0,d,h,q,s,i
C05M05,S05,80,M05,B,C,0,e,h,c,p,i
C05M06,S05,80,M06,A,C,1/4,f,h,r,f,i
C05M07,S05,80,M07,O,0,0,-,h,-,-,o2
C05M08,S05,80,M08,T,F,1/4,h,h,r,t,x
C05M09,S05,80,M09,S,F,1/4,i,h,r,r,x
C05M10,S05,80,M10,S,F,1/4,j,h,r,r,x
C05M11,S05,80,M11,S,F,1/4,x,h,r,r,x
C05M12,S05,80,M12,O,0,0,-,h,-,-,o5
C05M13,S05,80,M13,O,0,0,-,h,-,-,o5
C06M01,S06,90,M01,C,C,1/4,a,h,r,p,i
C06M02,S06,90,M02,C,C,2/8,b,h,q,p,i
C06M03,S06,90,M03,O,0,0,-,h,-,-,o6
C06M04,S06,90,M04,O,0,0,-,h,-,-,o6
C06M05,S06,90,M05,B,C,0,e,h,c,p,i
C06M06,S06,90,M06,A,C,1/4,f,h,r,f,i
C06M07,S06,90,M07,O,0,0,-,h,-,-,o2
C06M08,S06,90,M08,O,0,0,-,h,-,-,o3
C06M09,S06,90,M09,O,0,0,-,h,-,-,o4
C06M10,S06,90,M10,O,0,0,-,h,-,-,o4
C06M11,S06,90,M11,O,0,0,-,h,-,-,o4
C06M12,S06,90,M12,O,0,0,-,h,-,-,o5
C06M13,S06,90,M13,O,0,0,-,h,-,-,o5
C07M01,S07,80,M01,C,C,1/4,a,h,r,p,i
C07M02,S07,80,M02,C,C,2/8,b,h,q,p,i
C07M03,S07,80,M03,A,C,1/4,c,h,r,s,i
C07M04,S07,80,M04,A,C,0,d,h,q,s,i
C07M05,S07,80,M05,B,C,0,e,h,c,p,i
C07M06,S07,80,M06,A,C,1/4,f,h,r,f,i
C07M07,S07,80,M07,O,0,0,-,h,-,-,o2
C07M08,S07,80,M08,O,0,0,-,h,-,-,o3
C07M09,S07,80,M09,O,0,0,-,h,-,-,o4
C07M10,S07,80,M10,O,0,0,-,h,-,-,o4
C07M11,S07,80,M11,O,0,0,-,h,-,-,o4
C07M12,S07,80,M12,O,0,0,-,h,-,-,o5
C07M13,S07,80,M13,O,0,0,-,h,-,-,o5
C08M01,S08,80,M01,C,C,1/4,a,h,r,p,i
C08M02,S08,80,M02,C,C,2/8,b,h,q,p,i
C08M03,S08,80,M03,A,C,1/4,c,h,r,s,i
C08M04,S08,80,M04,A,C,0,d,h,q,s,i
C08M05,S08,80,M05,B,C,0,e,h,c,p,i
C08M06,S08,80,M06,A,C,1/4,f,h,r,f,i
C08M07,S08,80,M07,O,0,0,-,h,-,-,o2
C08M08,S08,80,M08,O,0,0,-,h,-,-,o3
C08M09,S08,80,M09,O,0,0,-,h,-,-,o4
C08M10,S08,80,M10,O,0,0,-,h,-,-,o4
C08M11,S08,80,M11,O,0,0,-,h,-,-,o4
C08M12,S08,80,M12,O,0,0,-,h,-,-,o5
C08M13,S08,80,M13,O,0,0,-,h,-,-,o5
C09M01,S09,90,M01,C,C,1/4,a,h,r,p,i
C09M02,S09,90,M02,C,C,2/8,b,h,q,p,i
C09M03,S09,90,M03,O,0,0,-,h,-,-,o6
C09M04,S09,90,M04,O,0,0,-,h,-,-,o6
C09M05,S09,90,M05,B,C,0,e,h,c,p,i
C09M06,S09,90,M06,A,C,1/4,f,h,r,f,i
C09M07,S09,90,M07,O,0,0,-,h,-,-,o2
C09M08,S09,90,M08,O,0,0,-,h,-,-,o3
C09M09,S09,90,M09,O,0,0,-,h,-,-,o4
C09M10,S09,90,M10,O,0,0,-,h,-,-,o4
C09M11,S09,90,M11,O,0,0,-,h,-,-,o4
C09M12,S09,90,M12,O,0,0,-,h,-,-,o5
C09M13,S09,90,M13,O,0,0,-,h,-,-,o5
C10M01,S10,80,M01,C,C,1/4,a,h,r,p,i
C10M02,S10,80,M02,C,C,2/8,b,h,q,p,i
C10M03,S10,80,M03,A,C,1/4,c,h,r,s,i
C10M04,S10,80,M04,A,C,0,d,h,q,s,i
C10M05,S10,80,M05,B,C,0,e,h,c,p,i
C10M06,S10,80,M06,A,C,1/4,f,h,r,f,i
C10M07,S10,80,M07,A,C,1/4,g,h,r,c,i
C10M08,S10,80,M08,T,F,1/4,h,h,r,t,x
C10M09,S10,80,M09,S,F,1/4,i,h,r,r,x
C10M10,S10,80,M10,S,F,1/4,j,h,r,r,x
C10M11,S10,80,M11,S,F,1/4,x,h,r,r,x
C10M12,S10,80,M12,O,0,0,-,h,-,-,o5
C10M13,S10,80,M13,O,0,0,-,h,-,-,o5
C11M01,S11,90,M01,C,C,1/4,a,h,r,p,i
C11M02,S11,90,M02,C,C,2/8,b,h,q,p,i
C11M03,S11,90,M03,O,0,0,-,h,-,-,o6
C11M04,S11,90,M04,O,0,0,-,h,-,-,o6
C11M05,S11,90,M05,B,C,0,e,h,c,p,i
C11M06,S11,90,M06,A,C,1/4,f,h,r,f,i
C11M07,S11,90,M07,O,0,0,-,h,-,-,o2
C11M08,S11,90,M08,O,0,0,-,h,-,-,o3
C11M09,S11,90,M09,O,0,0,-,h,-,-,o4
C11M10,S11,90,M10,O,0,0,-,h,-,-,o4
C11M11,S11,90,M11,O,0,0,-,h,-,-,o4
C11M12,S11,90,M12,O,0,0,-,h,-,-,o5
C11M13,S11,90,M13,O,0,0,-,h,-,-,o5
C12M01,S12,80,M01,C,C,1/4,a,h,r,p,i
C12M02,S12,80,M02,C,C,2/8,b,h,q,p,i
C12M03,S12,80,M03,A,C,1/4,c,h,r,s,i
C12M04,S12,80,M04,A,C,0,d,h,q,s,i
C12M05,S12,80,M05,B,C,0,e,h,c,p,i
C12M06,S12,80,M06,A,C,1/4,f,h,r,f,i
C12M07,S12,80,M07,O,0,0,-,h,-,-,o2
C12M08,S12,80,M08,O,0,0,-,h,-,-,o3
C12M09,S12,80,M09,O,0,0,-,h,-,-,o4
C12M10,S12,80,M10,O,0,0,-,h,-,-,o4
C12M11,S12,80,M11,O,0,0,-,h,-,-,o4
C12M12,S12,80,M12,O,0,0,-,h,-,-,o5
C12M13,S12,80,M13,O,0,0,-,h,-,-,o5
C13M01,S13,80,M01,C,S,1/4,a,h,r,p,i
C13M02,S13,80,M02,C,S,2/8,b,h,q,p,i
C13M03,S13,80,M03,A,S,1/4,c,h,r,s,i
C13M04,S13,80,M04,A,S,0,d,h,q,s,i
C13M05,S13,80,M05,B,S,0,e,h,c,p,i
C13M06,S13,80,M06,O,0,0,-,h,-,-,o1
C13M07,S13,80,M07,O,0,0,-,h,-,-,o2
C13M08,S13,80,M08,O,0,0,-,h,-,-,o3
C13M09,S13,80,M09,O,0,0,-,h,-,-,o4
C13M10,S13,80,M10,O,0,0,-,h,-,-,o4
C13M11,S13,80,M11,O,0,0,-,h,-,-,o4
C13M12,S13,80,M12,O,0,0,-,h,-,-,o5
C13M13,S13,80,M13,O,0,0,-,h,-,-,o5
C14M01,S14,80,M01,C,S,1/4,a,h,r,p,i
C14M02,S14,80,M02,C,S,2/8,b,h,q,p,i
C14M03,S14,80,M03,A,S,1/4,c,h,r,s,i
C14M04,S14,80,M04,A,S,0,d,h,q,s,i
C14M05,S14,80,M05,B,S,0,e,h,c,p,i
C14M06,S14,80,M06,O,0,0,-,h,-,-,o1
C14M07,S14,80,M07,O,0,0,-,h,-,-,o2
C14M08,S14,80,M08,O,0,0,-,h,-,-,o3
C14M09,S14,80,M09,O,0,0,-,h,-,-,o4
C14M10,S14,80,M10,O,0,0,-,h,-,-,o4
C14M11,S14,80,M11,O,0,0,-,h,-,-,o4
C14M12,S14,80,M12,O,0,0,-,h,-,-,o5
C14M13,S14,80,M13,O,0,0,-,h,-,-,o5
C15M01,S15,80,M01,C,S,1/4,a,h,r,p,i
C15M02,S15,80,M02,C,S,2/8,b,h,q,p,i
C15M03,S15,80,M03,A,S,1/4,c,h,r,s,i
C15M04,S15,80,M04,A,S,0,d,h,q,s,i
C15M05,S15,80,M05,B,S,0,e,h,c,p,i
C15M06,S15,80,M06,O,0,0,-,h,-,-,o1
C15M07,S15,80,M07,O,0,0,-,h,-,-,o2
C15M08,S15,80,M08,O,0,0,-,h,-,-,o3
C15M09,S15,80,M09,O,0,0,-,h,-,-,o4
C15M10,S15,80,M10,O,0,0,-,h,-,-,o4
C15M11,S15,80,M11,O,0,0,-,h,-,-,o4
C15M12,S15,80,M12,O,0,0,-,h,-,-,o5
C15M13,S15,80,M13,O,0,0,-,h,-,-,o5
C16M01,S16,80,M01,C,S,1/4,a,h,r,p,i
C16M02,S16,80,M02,C,S,2/8,b,h,q,p,i
C16M03,S16,80,M03,A,S,1/4,c,h,r,s,i
C16M04,S16,80,M04,A,S,0,d,h,q,s,i
C16M05,S16,80,M05,B,S,0,e,h,c,p,i
C16M06,S16,80,M06,O,0,0,-,h,-,-,o1
C16M07,S16,80,M07,O,0,0,-,h,-,-,o2
C16M08,S16,80,M08,O,0,0,-,h,-,-,o3
C16M09,S16,80,M09,O,0,0,-,h,-,-,o4
C16M10,S16,80,M10,O,0,0,-,h,-,-,o4
C16M11,S16,80,M11,O,0,0,-,h,-,-,o4
C16M12,S16,80,M12,O,0,0,-,h,-,-,o5
C16M13,S16,80,M13,O,0,0,-,h,-,-,o5
